id,faction_id,result_hero_id,input_hero_1_id,input_hero_1_amount,input_hero_2_id,input_hero_2_amount,fodder_amount,fodder_stars
1,1,14,6,4,5,4,4,4
2,1,15,7,4,2,4,4,4
3,1,16,8,4,3,4,4,4
4,1,17,9,4,4,4,4,4
5,1,18,10,4,5,4,4,4
6,1,19,11,4,1,4,4,4
7,1,20,12,4,1,4,4,4
8,1,21,13,4,3,4,4,4
9,1,34,16,2,15,1,3,5
10,1,35,17,2,21,1,3,5
11,1,36,21,2,17,1,3,5
12,1,37,22,2,17,1,3,5
13,1,38,23,2,16,1,3,5
14,1,39,24,2,19,1,3,5
15,1,40,25,2,15,1,3,5
16,1,41,26,2,20,1,3,5
17,1,42,27,2,14,1,3,5
18,1,43,28,2,18,1,3,5
19,1,44,29,2,15,1,3,5
20,1,45,30,2,21,1,3,5
21,1,46,31,2,16,1,3,5
22,1,47,32,2,20,1,3,5
23,1,48,33,2,14,1,3,5
24,2,62,54,4,49,4,4,4
25,2,63,55,4,52,4,4,4
26,2,64,56,4,50,4,4,4
27,2,65,57,4,49,4,4,4
28,2,66,58,4,51,4,4,4
29,2,67,59,4,53,4,4,4
30,2,68,60,4,52,4,4,4
31,2,69,61,4,50,4,4,4
32,2,82,64,2,66,1,3,5
33,2,83,65,2,69,1,3,5
34,2,84,69,2,68,1,3,5
35,2,85,70,2,62,1,3,5
36,2,86,71,2,62,1,3,5
37,2,87,72,2,63,1,3,5
38,2,88,73,2,65,1,3,5
39,2,89,74,2,69,1,3,5
40,2,90,75,2,66,1,3,5
41,2,91,76,2,68,1,3,5
42,2,92,77,2,64,1,3,5
43,2,93,78,2,64,1,3,5
44,2,94,79,2,67,1,3,5
45,2,95,80,2,67,1,3,5
46,2,96,81,2,64,1,3,5
47,3,110,102,4,98,4,4,4
48,3,111,103,4,98,4,4,4
49,3,112,104,4,97,4,4,4
50,3,113,105,4,99,4,4,4
51,3,114,106,4,100,4,4,4
52,3,115,107,4,101,4,4,4
53,3,116,108,4,101,4,4,4
54,3,117,109,4,100,4,4,4
55,3,130,111,2,113,1,3,5
56,3,131,115,2,116,1,3,5
57,3,132,116,2,115,1,3,5
58,3,133,118,2,111,1,3,5
59,3,134,119,2,114,1,3,5
60,3,135,120,2,116,1,3,5
61,3,136,121,2,110,1,3,5
62,3,137,122,2,113,1,3,5
63,3,138,123,2,114,1,3,5
64,3,139,124,2,112,1,3,5
65,3,140,125,2,112,1,3,5
66,3,141,126,2,115,1,3,5
67,3,142,127,2,110,1,3,5
68,3,143,128,2,117,1,3,5
69,3,144,129,2,114,1,3,5
70,4,158,150,4,145,4,4,4
71,4,159,151,4,147,4,4,4
72,4,160,152,4,148,4,4,4
73,4,161,153,4,146,4,4,4
74,4,162,154,4,149,4,4,4
75,4,163,155,4,146,4,4,4
76,4,164,156,4,148,4,4,4
77,4,165,157,4,147,4,4,4
78,4,178,162,2,165,1,3,5
79,4,179,164,2,161,1,3,5
80,4,180,165,2,162,1,3,5
81,4,181,166,2,158,1,3,5
82,4,182,167,2,163,1,3,5
83,4,183,168,2,161,1,3,5
84,4,184,169,2,165,1,3,5
85,4,185,170,2,162,1,3,5
86,4,186,171,2,160,1,3,5
87,4,187,172,2,159,1,3,5
88,4,188,173,2,162,1,3,5
89,4,189,174,2,163,1,3,5
90,4,190,175,2,164,1,3,5
91,4,191,176,2,163,1,3,5
92,4,192,177,2,162,1,3,5
93,5,197,194,4,193,4,4,4
94,5,198,195,4,193,4,4,4
95,5,199,196,4,193,4,4,4
96,5,206,199,2,197,1,3,5
97,5,207,200,2,197,1,3,5
98,5,208,201,2,198,1,3,5
99,5,209,202,2,199,1,3,5
100,5,210,203,2,197,1,3,5
101,5,211,204,2,199,1,3,5
102,5,212,205,2,198,1,3,5
103,6,217,214,4,213,4,4,4
104,6,218,215,4,213,4,4,4
105,6,219,216,4,213,4,4,4
106,6,226,219,2,217,1,3,5
107,6,227,220,2,217,1,3,5
108,6,228,221,2,218,1,3,5
109,6,229,222,2,217,1,3,5
110,6,230,223,2,218,1,3,5
111,6,231,224,2,217,1,3,5
112,6,232,225,2,217,1,3,5
